Drill Listing
=============
Drill: .01969  Tool: 1  Feed: 95  Speed: 300
X 155500  Y 114000
X 150000  Y 132000
X 176500  Y 144000
X 162500  Y 124000
X 226000  Y 122000
X 235000  Y 132000
X 255000  Y 165000
X 296000  Y 122000
Drill: .03543  Tool: 2  Feed: 197  Speed: 550
X 131000  Y 108000
X 131000  Y 118000
X 128472  Y 128000
X 128472  Y 136000
X 129000  Y 144000
X 129000  Y 173527
X 145000  Y 173527
X 153000  Y 173527
X 137000  Y 173527
X 161000  Y 173527
X 153000  Y 144000
X 137000  Y 144000
X 145000  Y 144000
X 161000  Y 144000
X 158000  Y 136000
X 158000  Y 128000
X 141000  Y 118000
X 161000  Y 118000
X 151000  Y 118000
X 161000  Y 108000
X 141000  Y 108000
X 151000  Y 108000
X 171000  Y 108000
X 181000  Y 108000
X 171000  Y 118000
X 181000  Y 118000
X 171472  Y 128000
X 171472  Y 136000
X 208015  Y 170000
X 208015  Y 150000
X 201000  Y 136000
X 211000  Y 136000
X 211472  Y 128000
X 201000  Y 128000
X 211000  Y 118000
X 201000  Y 118000
X 191000  Y 118000
X 211000  Y 108000
X 191000  Y 108000
X 201000  Y 108000
X 221000  Y 108000
X 231000  Y 108000
X 221000  Y 118000
X 231000  Y 118000
X 235003  Y 150000
X 217011  Y 150000
X 226007  Y 150000
X 221509  Y 160000
X 212513  Y 160000
X 230505  Y 160000
X 217011  Y 170000
X 235003  Y 170000
X 226007  Y 170000
X 244000  Y 170000
X 248498  Y 160000
X 239501  Y 160000
X 244000  Y 150000
X 251000  Y 136000
X 240527  Y 136000
X 241000  Y 128000
X 251472  Y 128000
X 261000  Y 118000
X 241000  Y 118000
X 251000  Y 118000
X 241000  Y 108000
X 251000  Y 108000
X 261000  Y 108000
X 271000  Y 108000
X 281000  Y 108000
X 271000  Y 118000
X 281000  Y 118000
X 281000  Y 128000
X 280527  Y 136000
X 293000  Y 173527
X 301000  Y 173527
X 310000  Y 173527
X 301000  Y 144000
X 293000  Y 144000
X 310000  Y 144000
X 293472  Y 136000
X 293000  Y 128000
X 291000  Y 118000
X 311000  Y 118000
X 301000  Y 118000
X 311000  Y 108000
X 301000  Y 108000
X 291000  Y 108000
X 321000  Y 108000
X 321000  Y 118000
X 322527  Y 128000
X 323000  Y 136000
X 327000  Y 144000
X 319000  Y 144000
X 327000  Y 173527
X 319000  Y 173527
Drill: .10827  Tool: 3  Feed: 69  Speed: 658
X 111826  Y 112488
X 340173  Y 112488
Drill: .13386  Tool: 4  Feed: 35  Speed: 794
X 177838  Y 160000
X 276224  Y 160000
End of Listing
